VIS,555,556,356.57,593,509.43,634.60
SNP,520,522.2,1063.67,836.86,557.14,501.60
GST,735,735.25,142.33,773.43,596.17,506.80
MAZ,530,527.25,613.83,587.33,559.67,641.20
UNK,445,446.25,973.33,1071,452.8,370.25
MBL,660,659.25,359,715.4,712.2,719.00
VQS,500,501.5,585.8,374,488.6,458.25
CVN,555,553.75,767,347,503.8,610.50
IGM,650,647,550.6,981.5,295.75,680.00
MCG,680,675,878.25,419.25,520.67,538.67
PRC,1300,1301.5,559.75,836.5,523.33,502.33
OLF,430,431,605,379.33,667.33,805.00
HON,1400,1397.5,392.67,653.33,815.33,265.00
KSM,560,562,861.67,542.67,561.5,648.00
GGW,425,426,340,327,526.5,766.00
MLS,915,917,701.67,856.5,304,333.00
HVR,275,274,632.5,375,240,
